epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.52122,3.76615,4.15418,2.3038,0.14466,0.19108,0.07202,0.02038,3.13293,2.72387,1.90214,0.00024,0.00024,0.00024
2,13.4736,2.83133,2.21359,1.57759,0.04498,0.46497,0.03183,0.00885,2.94416,inf,1.90328,0.00049725,0.00049725,0.00049725
3,17.3229,2.58141,1.8371,1.51447,0.03221,0.26115,0.01381,0.00429,2.97387,47.1474,2.80166,0.00075164,0.00075164,0.00075164
4,21.0307,2.59146,1.70611,1.46483,0.03221,0.26115,0.01381,0.00429,nan,nan,nan,0.00100317,0.00100317,0.00100317
5,24.6795,2.56245,1.65416,1.48677,0.03221,0.26115,0.01381,0.00429,nan,nan,nan,0.00125184,0.00125184,0.00125184
6,28.4274,2.51853,1.58559,1.5076,0.00131,0.02548,0.00078,0.00011,nan,nan,nan,0.00149765,0.00149765,0.00149765
7,32.0539,2.59089,1.64004,1.52687,0.00036,0.01911,0.00019,5e-05,nan,nan,nan,0.0017406,0.0017406,0.0017406
8,35.6594,2.54884,1.59864,1.45112,0.00036,0.01911,0.00019,5e-05,nan,nan,nan,0.001923,0.001923,0.001923
9,39.4152,2.54071,1.64303,1.45584,0.00122,0.03822,0.00058,0.00023,4.59101,201.031,14.9543,0.001912,0.001912,0.001912
10,43.0645,2.607,1.60916,1.47854,0.0021,0.04459,0.00068,0.00019,4.30517,inf,32.3248,0.001901,0.001901,0.001901
11,46.7268,2.57903,1.51524,1.45187,0.00486,0.20382,0.00252,0.00092,nan,nan,nan,0.00189,0.00189,0.00189
12,50.394,2.48678,1.58427,1.45169,0.0021,0.10828,0.00113,0.00038,4.37171,inf,22.2928,0.001879,0.001879,0.001879
13,54.0883,2.46909,1.56721,1.39585,0.00172,0.08917,0.00091,0.00033,nan,nan,nan,0.001868,0.001868,0.001868
14,57.7226,2.46686,1.48956,1.46176,0.00204,0.10828,0.00113,0.00033,nan,nan,nan,0.001857,0.001857,0.001857
